nohup: ignoring input
[ALeS] w=11, k=1, p=0.8, N=64, m=16, M=24, seeds=['111010100110100111'], sens=0.882398
[MODE] parallel(workers=16, chunk=128)
[FASTQ] processing fastq/ERR15404863_1.fastq
[PROGRESS] reads=100, mapped=100, rate=100.00%
[PROGRESS] reads=200, mapped=200, rate=100.00%
[PROGRESS] reads=300, mapped=300, rate=100.00%
[PROGRESS] reads=400, mapped=400, rate=100.00%
[PROGRESS] reads=500, mapped=500, rate=100.00%
[PROGRESS] reads=600, mapped=600, rate=100.00%
[PROGRESS] reads=700, mapped=700, rate=100.00%
[PROGRESS] reads=800, mapped=800, rate=100.00%
[PROGRESS] reads=900, mapped=900, rate=100.00%
[PROGRESS] reads=1000, mapped=1000, rate=100.00%
[PROGRESS] reads=1100, mapped=1100, rate=100.00%
[PROGRESS] reads=1200, mapped=1200, rate=100.00%
[PROGRESS] reads=1300, mapped=1300, rate=100.00%
[PROGRESS] reads=1400, mapped=1400, rate=100.00%
[PROGRESS] reads=1500, mapped=1500, rate=100.00%
[PROGRESS] reads=1600, mapped=1600, rate=100.00%
[PROGRESS] reads=1700, mapped=1700, rate=100.00%
[PROGRESS] reads=1800, mapped=1800, rate=100.00%
[PROGRESS] reads=1900, mapped=1900, rate=100.00%
[PROGRESS] reads=2000, mapped=2000, rate=100.00%
[PROGRESS] reads=2100, mapped=2100, rate=100.00%
[PROGRESS] reads=2200, mapped=2200, rate=100.00%
[PROGRESS] reads=2300, mapped=2300, rate=100.00%
[PROGRESS] reads=2400, mapped=2400, rate=100.00%
[PROGRESS] reads=2500, mapped=2500, rate=100.00%
[PROGRESS] reads=2600, mapped=2600, rate=100.00%
[PROGRESS] reads=2700, mapped=2700, rate=100.00%
[PROGRESS] reads=2800, mapped=2800, rate=100.00%
[PROGRESS] reads=2900, mapped=2900, rate=100.00%
[PROGRESS] reads=3000, mapped=3000, rate=100.00%
[PROGRESS] reads=3100, mapped=3100, rate=100.00%
[PROGRESS] reads=3200, mapped=3200, rate=100.00%
[PROGRESS] reads=3300, mapped=3300, rate=100.00%
