> SIRV101
  54:1029|ffe8064b-1498-4cc4-a85a-8fedd1760523_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=109152_ch=435_start_time=2019-04-13T17:47:58Z_strand=-_strand=+ 35 36 193
  54:1029|ffe8064b-1498-4cc4-a85a-8fedd1760523_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=109152_ch=435_start_time=2019-04-13T17:47:58Z_strand=-_strand=+ 245 449 208
  54:1029|ffe8064b-1498-4cc4-a85a-8fedd1760523_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=109152_ch=435_start_time=2019-04-13T17:47:58Z_strand=-_strand=+ 476 1073 295
  54:1029|ffe8064b-1498-4cc4-a85a-8fedd1760523_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=109152_ch=435_start_time=2019-04-13T17:47:58Z_strand=-_strand=+ 841 1434 41
  59:425|be4cb2dd-170c-4d80-8b01-d33a8e1838ee_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=90013_ch=485_start_time=2019-04-13T14:01:21Z_strand=-_strand=+ 20 617 318
  57:1358|1d08702a-72b3-424a-a92e-1bcfa37e87bb_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=107366_ch=42_start_time=2019-04-13T16:47:25Z_strand=-_strand=+ 0 343 178
  57:1358|1d08702a-72b3-424a-a92e-1bcfa37e87bb_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=107366_ch=42_start_time=2019-04-13T16:47:25Z_strand=-_strand=+ 243 586 358
  57:1358|1d08702a-72b3-424a-a92e-1bcfa37e87bb_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=107366_ch=42_start_time=2019-04-13T16:47:25Z_strand=-_strand=+ 717 970 556
  55:1298|17df3a27-6de5-4b16-b60c-3a194a4e39f3_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=25607_ch=20_start_time=2019-04-12T21:27:31Z_strand=-_strand=+ 73 420 174
  55:1298|17df3a27-6de5-4b16-b60c-3a194a4e39f3_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=25607_ch=20_start_time=2019-04-12T21:27:31Z_strand=-_strand=+ 303 650 107
  55:1298|17df3a27-6de5-4b16-b60c-3a194a4e39f3_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=25607_ch=20_start_time=2019-04-12T21:27:31Z_strand=-_strand=+ 419 769 73
  55:1298|17df3a27-6de5-4b16-b60c-3a194a4e39f3_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=25607_ch=20_start_time=2019-04-12T21:27:31Z_strand=-_strand=+ 717 987 50
  55:1298|17df3a27-6de5-4b16-b60c-3a194a4e39f3_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=25607_ch=20_start_time=2019-04-12T21:27:31Z_strand=-_strand=+ 1002 1304 116
  55:1298|17df3a27-6de5-4b16-b60c-3a194a4e39f3_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=25607_ch=20_start_time=2019-04-12T21:27:31Z_strand=-_strand=+ 1144 1454 89
> SIRV106
  54:1029|ffe8064b-1498-4cc4-a85a-8fedd1760523_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=109152_ch=435_start_time=2019-04-13T17:47:58Z_strand=-_strand=+ 35 36 736
  54:1029|ffe8064b-1498-4cc4-a85a-8fedd1760523_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=109152_ch=435_start_time=2019-04-13T17:47:58Z_strand=-_strand=+ 841 846 41
  59:425|be4cb2dd-170c-4d80-8b01-d33a8e1838ee_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=90013_ch=485_start_time=2019-04-13T14:01:21Z_strand=-_strand=+ 20 418 62
  57:1358|1d08702a-72b3-424a-a92e-1bcfa37e87bb_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=107366_ch=42_start_time=2019-04-13T16:47:25Z_strand=-_strand=+ 97 242 81
  57:1358|1d08702a-72b3-424a-a92e-1bcfa37e87bb_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=107366_ch=42_start_time=2019-04-13T16:47:25Z_strand=-_strand=+ 243 387 67
  57:1358|1d08702a-72b3-424a-a92e-1bcfa37e87bb_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=107366_ch=42_start_time=2019-04-13T16:47:25Z_strand=-_strand=+ 820 485 453
  55:1298|17df3a27-6de5-4b16-b60c-3a194a4e39f3_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=25607_ch=20_start_time=2019-04-12T21:27:31Z_strand=-_strand=+ 92 241 155
  55:1298|17df3a27-6de5-4b16-b60c-3a194a4e39f3_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=25607_ch=20_start_time=2019-04-12T21:27:31Z_strand=-_strand=+ 1002 716 116
  55:1298|17df3a27-6de5-4b16-b60c-3a194a4e39f3_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=25607_ch=20_start_time=2019-04-12T21:27:31Z_strand=-_strand=+ 1144 866 89
> SIRV103
  54:1029|ffe8064b-1498-4cc4-a85a-8fedd1760523_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=109152_ch=435_start_time=2019-04-13T17:47:58Z_strand=-_strand=+ 35 41 96
  54:1029|ffe8064b-1498-4cc4-a85a-8fedd1760523_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=109152_ch=435_start_time=2019-04-13T17:47:58Z_strand=-_strand=+ 245 251 208
  54:1029|ffe8064b-1498-4cc4-a85a-8fedd1760523_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=109152_ch=435_start_time=2019-04-13T17:47:58Z_strand=-_strand=+ 476 875 295
  54:1029|ffe8064b-1498-4cc4-a85a-8fedd1760523_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=109152_ch=435_start_time=2019-04-13T17:47:58Z_strand=-_strand=+ 841 1236 41
  59:425|be4cb2dd-170c-4d80-8b01-d33a8e1838ee_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=90013_ch=485_start_time=2019-04-13T14:01:21Z_strand=-_strand=+ 20 419 318
  57:1358|1d08702a-72b3-424a-a92e-1bcfa37e87bb_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=107366_ch=42_start_time=2019-04-13T16:47:25Z_strand=-_strand=+ 0 145 178
  57:1358|1d08702a-72b3-424a-a92e-1bcfa37e87bb_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=107366_ch=42_start_time=2019-04-13T16:47:25Z_strand=-_strand=+ 243 388 358
  57:1358|1d08702a-72b3-424a-a92e-1bcfa37e87bb_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=107366_ch=42_start_time=2019-04-13T16:47:25Z_strand=-_strand=+ 717 772 556
  55:1298|17df3a27-6de5-4b16-b60c-3a194a4e39f3_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=25607_ch=20_start_time=2019-04-12T21:27:31Z_strand=-_strand=+ 73 222 174
  55:1298|17df3a27-6de5-4b16-b60c-3a194a4e39f3_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=25607_ch=20_start_time=2019-04-12T21:27:31Z_strand=-_strand=+ 303 452 107
  55:1298|17df3a27-6de5-4b16-b60c-3a194a4e39f3_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=25607_ch=20_start_time=2019-04-12T21:27:31Z_strand=-_strand=+ 419 571 73
